27.03.2024 11:21 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:21 | Bot | [INFO] Запуск бота..
27.03.2024 11:21 | Bot | [INFO] Бот готов к работе
27.03.2024 11:21 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:21 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
27.03.2024 11:22 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:22 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:22 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:22 | Bot | [INFO] Запуск бота..
27.03.2024 11:22 | Bot | [INFO] Бот готов к работе
27.03.2024 11:23 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:23 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:23 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:23 | Bot | [INFO] Запуск бота..
27.03.2024 11:23 | Bot | [INFO] Бот готов к работе
27.03.2024 11:23 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:23 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:23 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:23 | Bot | [INFO] Запуск бота..
27.03.2024 11:23 | Bot | [INFO] Бот готов к работе
27.03.2024 11:23 | Bot | [WARNING] start() от @muqesq
27.03.2024 11:23 | Bot | [WARNING] Новый пользователь: @muqesq
27.03.2024 11:23 | Bot | [WARNING] Обнаружен админ: @muqesq
27.03.2024 11:24 | Bot | [WARNING] start() от @muqesq
27.03.2024 11:24 | Bot | [WARNING] Попытка повторого запуска: @muqesq
27.03.2024 11:24 | Bot | [WARNING] Обнаружен админ: @muqesq
27.03.2024 11:26 | Bot | [WARNING] send_post({'name': 'M1', 'picture': 'AgACAgIAAxkBAAICZmYD5YGK5TyZchXBKGQEcG1V-ev0AAK01DEbwBAQSNo2QHytGtadAQADAgADeQADNAQ', 'content': '123', 'button1': ["'ЗАБИРАЙ", "https://google.com'"], 'button2': ['ЗАБИРАЙ', 'https://google.com']}, 481733241)
27.03.2024 11:26 | Bot | [WARNING] send_post({'name': 'M1', 'picture': 'AgACAgIAAxkBAAICZmYD5YGK5TyZchXBKGQEcG1V-ev0AAK01DEbwBAQSNo2QHytGtadAQADAgADeQADNAQ', 'content': '123', 'button1': ["'ЗАБИРАЙ", "https://google.com'"], 'button2': ['ЗАБИРАЙ', 'https://google.com']}, 1423749884)
27.03.2024 11:26 | Bot | [WARNING] send_post({'name': 'M1', 'picture': 'AgACAgIAAxkBAAICZmYD5YGK5TyZchXBKGQEcG1V-ev0AAK01DEbwBAQSNo2QHytGtadAQADAgADeQADNAQ', 'content': '123', 'button1': ["'ЗАБИРАЙ", "https://google.com'"], 'button2': ['ЗАБИРАЙ', 'https://google.com']}, 481733241)
27.03.2024 11:27 | Bot | [WARNING] send_post({'name': 'M1', 'picture': 'AgACAgIAAxkBAAICZmYD5YGK5TyZchXBKGQEcG1V-ev0AAK01DEbwBAQSNo2QHytGtadAQADAgADeQADNAQ', 'content': '123', 'button1': ["'ЗАБИРАЙ", "https://google.com'"], 'button2': ['ЗАБИРАЙ', 'https://google.com']}, 481733241)
27.03.2024 11:29 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:30 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:30 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
27.03.2024 11:52 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:52 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:52 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:52 | Bot | [INFO] Запуск бота..
27.03.2024 11:53 | Bot | [INFO] Бот готов к работе
27.03.2024 11:53 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:53 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
27.03.2024 11:53 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
27.03.2024 11:53 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:53 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:53 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:53 | Bot | [INFO] Запуск бота..
27.03.2024 11:53 | Bot | [INFO] Бот готов к работе
27.03.2024 11:53 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:53 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
27.03.2024 11:53 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
27.03.2024 11:54 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:54 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:54 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:54 | Bot | [INFO] Запуск бота..
27.03.2024 11:54 | Bot | [INFO] Бот готов к работе
27.03.2024 11:54 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:54 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
27.03.2024 11:54 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
27.03.2024 11:55 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:55 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:55 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:55 | Bot | [INFO] Запуск бота..
27.03.2024 11:55 | Bot | [INFO] Бот готов к работе
27.03.2024 11:56 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:56 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:56 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:56 | Bot | [INFO] Запуск бота..
27.03.2024 11:56 | Bot | [INFO] Бот готов к работе
27.03.2024 11:56 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:56 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
27.03.2024 11:56 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
27.03.2024 11:59 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:59 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:59 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:59 | Bot | [INFO] Запуск бота..
27.03.2024 11:59 | Bot | [INFO] Бот готов к работе
27.03.2024 11:59 | Bot | [WARNING] start() от @mrwoon_official
27.03.2024 11:59 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
27.03.2024 11:59 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
